Week,Defects Found,Code Coverage,Code Complexity,Responsiveness,Software Quality
12,5,75,80,7,Medium
25,8,60,20,2,Low
40,12,82,80,9,High
6,3,70,20,3,Low
18,6,95,80,8,High
33,9,55,20,3,Low
2,4,80,50,5,Medium
15,7,65,50,6,Medium
28,10,70,80,8,High
36,11,75,50,7,Medium
10,5,85,80,8,High
22,8,62,20,4,Low
38,13,78,80,9,High
4,3,68,50,6,Medium
20,6,90,80,8,High
35,9,58,20,3,Low
8,4,77,50,6,Medium
30,10,72,80,9,High
14,7,63,20,4,Low
26,11,83,80,9,High
1,5,72,20,3,Low
32,8,87,80,9,High
16,12,60,20,3,Low
39,14,92,80,9,High
5,4,55,20,2,Low
24,9,75,50,7,Medium
37,13,68,20,4,Low
7,5,80,80,9,High
19,10,85,80,9,High
34,15,77,50,7,Medium
11,6,92,80,9,High
23,9,58,20,3,Low
3,4,75,50,6,Medium
17,7,70,80,9,High
29,11,65,20,4,Low
31,12,78,80,9,High
13,6,80,20,4,Low
21,10,72,50,6,Medium